    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8468              0.8104  58.5  33.5
1   en-de          0.8678              0.8335  64.2  37.3
2   cs-en          0.8744              0.8218  74.0  54.9
3   en-cs          0.9063              0.8416  65.6  42.1
4   ja-en          0.8153              0.8008  49.6  24.5
5   en-ja          0.8795              0.8527  34.9  25.1
6   zh-en          0.8035              0.7758  57.7  27.9
7   en-zh          0.8611              0.8139  43.1  48.1
8   ru-en          0.8516              0.8072  68.3  43.9
9   en-ru          0.8744              0.8285  58.1  33.1
10  uk-en          0.8347              0.7972  65.3  42.4
11  en-uk          0.8613              0.8185  56.1  28.2
12  is-en          0.8591              0.8033  62.8  40.5
13  en-is          0.8425              0.8020  56.8  28.7
14  ha-en          0.7326              0.6845  43.4  16.2
15  en-ha          0.7251              0.5718  38.4  10.3
16  fr-de          0.8537              0.7891  67.5  45.3
17  de-fr          0.8274              0.7903  65.0  42.0
