    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8490              0.8129  56.7  31.1
1   en-de          0.8579              0.8281  60.7  32.4
2   cs-en          0.8635              0.8228  67.8  45.0
3   en-cs          0.8920              0.8363  58.6  32.5
4   ja-en          0.8164              0.8075  48.3  22.1
5   en-ja          0.8839              0.8528  32.2  22.5
6   zh-en          0.8123              0.7878  55.3  24.2
7   en-zh          0.8605              0.8147  35.5  38.8
8   ru-en          0.8491              0.8117  65.4  40.1
9   en-ru          0.8687              0.8237  53.8  27.5
10  uk-en          0.8375              0.8027  61.4  37.5
11  en-uk          0.8505              0.8048  50.5  21.9
12  is-en          0.8347              0.7971  56.7  33.3
13  en-is          0.7739              0.7513  44.5  16.2
14  ha-en          0.7809              0.7435  47.5  19.1
15  en-ha          0.7405              0.5971  37.8   8.9
16  fr-de          0.8638              0.8000  67.0  43.9
17  de-fr          0.8320              0.8078  61.2  38.1
