    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8489              0.8130  56.1  30.4
1   en-de          0.8614              0.8307  60.7  31.9
2   cs-en          0.8661              0.8230  67.9  45.4
3   en-cs          0.8971              0.8404  58.3  31.6
4   ja-en          0.8166              0.8073  46.8  20.2
5   en-ja          0.8830              0.8509  31.8  22.0
6   zh-en          0.8087              0.7823  55.2  24.2
7   en-zh          0.8674              0.8178  38.7  42.8
8   ru-en          0.8414              0.8064  63.3  37.9
9   en-ru          0.8639              0.8188  54.3  28.1
10  uk-en          0.8354              0.8027  60.3  35.6
11  en-uk          0.8472              0.8021  50.1  21.2
12  is-en          0.8406              0.8016  57.8  34.7
13  en-is          0.7696              0.7455  43.7  15.3
14  ha-en          0.7567              0.7269  45.7  17.3
15  en-ha          0.7399              0.5902  38.4   8.8
16  fr-de          0.8605              0.7963  65.1  41.0
17  de-fr          0.8311              0.8052  60.3  36.9
