    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8572              0.8217  58.4  33.3
1   en-de          0.8732              0.8425  63.5  36.2
2   cs-en          0.8777              0.8344  72.3  52.3
3   en-cs          0.9118              0.8543  64.0  39.6
4   ja-en          0.8270              0.8205  49.0  23.4
5   en-ja          0.8910              0.8648  34.3  24.4
6   zh-en          0.8177              0.7964  56.5  25.8
7   en-zh          0.8753              0.8310  42.2  46.5
8   ru-en          0.8586              0.8202  67.6  43.2
9   en-ru          0.8846              0.8428  57.2  31.6
10  uk-en          0.8508              0.8157  64.9  41.5
11  en-uk          0.8774              0.8358  55.5  27.1
