    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8504              0.8138  58.5  33.4
1   en-de          0.8721              0.8356  64.6  38.4
2   cs-en          0.8900              0.8247  79.3  64.2
3   en-cs          0.9186              0.8531  68.2  45.8
4   ja-en          0.8159              0.8025  49.8  24.8
5   en-ja          0.8926              0.8577  36.8  27.6
6   zh-en          0.8102              0.7766  61.1  33.5
7   en-zh          0.8669              0.8204  41.1  44.8
8   ru-en          0.8595              0.8171  68.9  45.1
9   en-ru          0.8951              0.8435  58.3  32.4
10  uk-en          0.8595              0.8149  67.3  44.6
11  en-uk          0.8876              0.8335  59.3  32.5
12  is-en          0.8698              0.8139  62.3  41.7
13  en-is          0.8675              0.8177  59.6  33.3
14  ha-en          0.7999              0.7450  48.7  21.0
15  en-ha          0.7977              0.6145  51.1  20.1
16  fr-de          0.8947              0.8065  81.2  64.8
17  de-fr          0.8570              0.7953  74.6  58.4
