    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8538              0.8153  57.7  32.4
1   en-de          0.8636              0.8312  61.3  33.2
2   cs-en          0.8689              0.8248  69.2  47.5
3   en-cs          0.8897              0.8333  59.0  32.9
4   ja-en          0.8180              0.8076  47.2  21.0
5   en-ja          0.8818              0.8532  31.1  21.6
6   zh-en          0.8108              0.7870  54.7  23.8
7   en-zh          0.8699              0.8216  39.8  43.7
8   ru-en          0.8486              0.8100  65.4  40.0
9   en-ru          0.8703              0.8244  54.4  28.2
10  uk-en          0.8391              0.8033  62.1  38.4
11  en-uk          0.8538              0.8063  50.6  22.1
12  is-en          0.8418              0.8022  58.0  35.2
13  en-is          0.7603              0.7413  44.1  16.3
14  ha-en          0.7818              0.7445  47.5  18.9
15  en-ha          0.7260              0.5850  36.9   8.5
16  fr-de          0.8668              0.8015  67.7  44.8
17  de-fr          0.8316              0.8065  62.1  39.3
