    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8516              0.8145  56.5  31.2
1   en-de          0.8645              0.8318  61.0  32.4
2   cs-en          0.8663              0.8228  66.4  44.2
3   en-cs          0.8936              0.8383  58.6  32.0
4   ja-en          0.8198              0.8089  48.2  22.4
5   en-ja          0.8820              0.8536  31.7  21.4
6   zh-en          0.8112              0.7875  55.0  24.4
7   en-zh          0.8696              0.8199  37.1  41.3
8   ru-en          0.8488              0.8119  63.9  39.0
9   en-ru          0.8684              0.8234  54.3  27.9
10  uk-en          0.8362              0.8025  58.8  34.4
11  en-uk          0.8538              0.8079  50.9  22.6
12  is-en          0.8441              0.8036  58.1  35.0
13  en-is          0.7794              0.7522  45.1  16.8
14  ha-en          0.7554              0.7222  45.9  17.8
15  en-ha          0.7210              0.5770  36.0   8.0
16  fr-de          0.8658              0.7999  65.2  41.6
17  de-fr          0.8362              0.8085  60.1  37.1
