    langs  wmt22-comet-da  wmt22-cometkiwi-da  chrf  bleu
0   de-en          0.8559              0.8206  58.4  33.3
1   en-de          0.8735              0.8420  63.8  36.6
2   cs-en          0.8778              0.8333  72.8  53.1
3   en-cs          0.9123              0.8538  64.9  40.9
4   ja-en          0.8254              0.8185  49.3  24.1
5   en-ja          0.8901              0.8640  34.6  24.7
6   zh-en          0.8160              0.7933  57.0  26.6
7   en-zh          0.8747              0.8299  42.6  47.1
8   ru-en          0.8578              0.8188  67.8  43.5
9   en-ru          0.8841              0.8421  57.6  32.2
10  uk-en          0.8501              0.8142  65.2  42.0
11  en-uk          0.8759              0.8349  55.7  27.6
